HEY BOB WILL YOU INCLUDE THIS LIST OF USERS FOR PHIN TYVM 

Email,Name,Role Assignments,Lunchmeat Preference
frankie@example.com,Fleece Pudding,"Public in Texas,Public in Bell,Admin in Bell,Health Alert and Communications Coordinator in Bell,Superadmin in Texas",Pastrami
georgina@example.com,Hey There,"Public in Texas,OrgAdmin in Potter,Admin in Potter,Health Alert and Communications Coordinator in Potter",Smoked Turkey
bobert@example.com,Keep Truckin,"Public in Texas,Admin in Texas,Health Alert and Communications Coordinator in Texas",Salami
My cat's breath tastes like CSV
nolte@example.com,Edith Gonzalez,"Public in Texas,Admin in Texas,Health Alert and Communications Coordinator in Starr,Rollcall in Harris,Superadmin in Texas",Roast Beef
watercress@example.com,JSON Phipps,"Public in Texas,Admin in Texas,Health Alert and Communications Coordinator in Texas",Brisket
journeyfan123@example.com,Jace Phipps,"Public in Texas,Public in Wise,Admin in Wise,Health Alert and Communications Coordinator in Wise",Tofu
bottomless.pasta.bowl@example.com,Puddle Stepper,"Public in Texas,Admin in Texas,Health Alert and Communications Coordinator in Bell,Superman in Texas",Lemongrass Loaf
lastguy@example.com,Ethan Wordup,"Public in Texas,Public in Armstrong,Admin in Armstrong,Health Alert and Communications Coordinator in Armstrong",Head Cheese

( This is poorly formed CSV )
